matnId,parentId,matnTitle,fileName,matnDescription,fileUrl,pagesCount,matnImage,fileKbSize
1,-1,متون طالب العلم,,عبد المحسن بن محمد القاسم  ط٥ الرياض,,1,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/motoCateg.jpg,10
24,-1,اخر,,متون اضافية تابعة الى متون طالب العلم,,1,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/motoCateg.jpg,10
18,1,مختصر الأذكار والآداب | المستوى التمهيدي | متون طالب العلم,talib_level1.pdf,عبد المحسن بن محمد القاسم  ط٥ الرياض,1MM8dF0DTQ-Tjo8r2zHz2HPlW2eTd9HtL,1,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/level1.jpg,1
19,1,الأذكار والأداب | المستوى التمهيدي | متون طالب العلم,talib_level2.pdf,عبد المحسن بن محمد القاسم  ط٥ الرياض,1cE4FVTMuuv8w2DQeOe4xIoMSmzFxipzJ,1,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/level2.jpg,1
20,1,المستوى الأول | متون طالب العلم,talib_level3.pdf,عبد المحسن بن محمد القاسم  ط٥ الرياض,1VIMoAawujcxnJUJV-clGhR_7U2us0Is2,1,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/level3.jpg,1
21,1,المستوى الثاني | متون طالب العلم,talib_level4.pdf,عبد المحسن بن محمد القاسم  ط٥ الرياض,1EPcjyRK4kh2Hech2qhSx6xAE9dmaFiBu,1,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/level4.jpg,1
22,1,المستوى الثالث | متون طالب العلم,talib_level5.pdf,عبد المحسن بن محمد القاسم  ط٥ الرياض,1P0rdXTwDNYZfh_YV7gewd8owwMAwBnD6,1,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/level5.jpg,1
23,1,المستوى الرابع | متون طالب العلم,talib_level6.pdf,عبد المحسن بن محمد القاسم  ط٥ الرياض,1R4-RA1A7u6WJhjushgaPi7yX1ETO0VUD,1,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/level5.jpg,1
