bookId,parentId,bookTitle,fileName,bookDescription,fileUrl,pagesCount,bookImage,fileKbSize
1,-1,كتب ثانوية,book,book,book,1,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/book1.jpeg,10
25,1,سيرة عائشة أم المؤمنين,سيرة عائشة أم المؤمنين.pdf,محمد كاظم محمد خلف الدليمي,https://www.dropbox.com/scl/fi/yoci9vdwxtr7rrfqa911g/aesha.pdf?rlkey=07v78b77xidz4vg7tye039rhe&dl=1,22,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/book1.jpeg,10
26,1,رسائل-من-القران,رسائل-من-القران.pdf,أدهم الشرقاوي,https://www.dropbox.com/scl/fi/p425juvv1e5g61lowqtpk/mktbtypdf.com.pdf?rlkey=4q4eaogpt1262rrkofqdulj6p&dl=1,271,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/book2.jpg,1
27,1,علمتني-سورة-البقرة,علمتني-سورة-البقرة.pdf,علي بن الحسين العلي,https://www.dropbox.com/scl/fi/d2vi8zu2fpz5vqu9i94vo/mktbtypdf.com.pdf?rlkey=hnqh1z0x84nanl7qrtu26f8rp&dl=1,220,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/book3.png,1
28,1,ابدأ حياتك مع القرآن,ابدأ حياتك مع القرآن.pdf,حسين علي الهنداوي,https://www.dropbox.com/scl/fi/4tkf54tk6u1o8bauhepej/Noor-Book.com.pdf?rlkey=uryqcq0w0ge8t930x2itwbnlt&dl=1,129,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/book4.png,1
29,1,الداء والدواء,الداء والدواء.pdf,ابن القيم الجوزية,https://www.dropbox.com/scl/fi/c2qfcqlfrsdhvke0l1emj/Noor-Book.com.pdf?rlkey=viztfv07mehu0o995c8uwjzmj&dl=1,751,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/book5.jpg,1
30,1,"بنات الصحابة فى عصر النبوة ",بنات الصحابة فى عصر النبوة ل منصور عبد الحكيم 2 .pdf," منصور عبد الحكيم",https://www.dropbox.com/scl/fi/stpufj3csdsntqma96c60/Noor-Book.com-2.pdf?rlkey=e26n00wyqlsrdljj9v7ywyy2n&dl=1,172,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/book6.jpg,1
31,1,كتاب على خطى الرسول,كتاب على خطى الرسول PDF - أدهم شرقاوي.pdf,أدهم شرقاوي,https://www.dropbox.com/scl/fi/z171i3ub0kabbx5jp9iky/PDF.pdf?rlkey=0on0evnxc39f8h88g2lsw4y0d&dl=1,354,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/book7.jpg,1
32,1,كتاب معجزات الذكر,كتاب معجزات الذكر.pdf,أحمد حسني,https://www.dropbox.com/scl/fi/18ou5xtqv69pflip524d8/qygjxFcWIs3dkLJ.pdf?rlkey=cw7ihzfpln6aeoakfqodtw9mj&dl=1,50,https://raw.githubusercontent.com/aymenzola/KounozFiles/main/quran/book8.PNG,1
